date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:59	75242/75242	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202025%2013:46:55%20GMT	https://rememberwhatitisthatyoulove.com/	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/index.html	(from )
18:07:59	44/44	---M-Z	200	added ('OK')	text/plain	etag:W/%2218-6277d69b9a724%22	https://rememberwhatitisthatyoulove.com/robots.txt		(from )
18:07:59	16384/16384	---M-Z	200	added ('OK')	text/css	etag:%224000-628849b42a328;62a8d1e19871d	https://rememberwhatitisthatyoulove.com/wp-includes/blocks/navigation/style.min.css?ver=6.7.1	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/wp-includes/blocks/navigation/style.min9704.css	(from https://rememberwhatitisthatyoulove.com/)
18:07:59	252168/252168	---M-Z	200	added ('OK')	text/css	etag:%223d908-62a8d1f3d37ce-gzip%22	https://rememberwhatitisthatyoulove.com/wp-content/plugins/coblocks/dist/style-coblocks-1.css?ver=3.1.14	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/wp-content/plugins/coblocks/dist/style-coblocks-1db4e.css	(from https://rememberwhatitisthatyoulove.com/)
18:07:59	19471/19471	---M-Z	200	added ('OK')	text/css	etag:%224c0f-62a8d1f3d4b56-gzip%22	https://rememberwhatitisthatyoulove.com/wp-content/plugins/coblocks/dist/style-coblocks-extensions.css?ver=3.1.14	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/wp-content/plugins/coblocks/dist/style-coblocks-extensionsdb4e.css	(from https://rememberwhatitisthatyoulove.com/)
18:08:00	3976/3976	---M-Z	200	added ('OK')	text/css	etag:%22f88-62a8d1f3d4386-gzip%22	https://rememberwhatitisthatyoulove.com/wp-content/plugins/coblocks/dist/style-coblocks-animation.css?ver=2677611078ee87eb3b1c	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/wp-content/plugins/coblocks/dist/style-coblocks-animation5ca0.css	(from https://rememberwhatitisthatyoulove.com/)
18:08:00	88247/88247	---M-Z	200	added ('OK')	text/css	etag:%22158b7-628849b402e3f;62a8d1e19871d	https://rememberwhatitisthatyoulove.com/wp-includes/css/dist/components/style.min.css?ver=6.7.1	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/wp-includes/css/dist/components/style.min9704.css	(from https://rememberwhatitisthatyoulove.com/)
18:08:00	12886/12886	---M-Z	200	added ('OK')	text/css	etag:%223256-628849b80504d;62a8d1e1944b4	https://rememberwhatitisthatyoulove.com/wp-content/mu-plugins/vendor/wpex/godaddy-launch/includes/Dependencies/GoDaddy/Styles/build/latest.css?ver=2.0.2	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/wp-content/mu-plugins/vendor/wpex/godaddy-launch/includes/Dependencies/GoDaddy/Styles/build/latest4c56.css	(from https://rememberwhatitisthatyoulove.com/)
18:08:00	1757/1757	---M-Z	200	added ('OK')	text/javascript	etag:%226dd-62a8e5a58c346-gzip%22	https://rememberwhatitisthatyoulove.com/wp-content/plugins/easy-quotes/public/js/star.js?ver=1735640749	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/wp-content/plugins/easy-quotes/public/js/star413b.js	(from https://rememberwhatitisthatyoulove.com/)
18:08:00	87553/87553	---M-Z	200	added ('OK')	text/javascript	etag:%2215601-628849b508dad;62a8d1e19871d	https://rememberwhatitisthatyoulove.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://rememberwhatitisthatyoulove.com/)
18:08:01	13577/13577	---M-Z	200	added ('OK')	text/javascript	etag:%223509-628849b5062b5;62a8d1e19871d	https://rememberwhatitisthatyoulove.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://rememberwhatitisthatyoulove.com/)
18:08:01	916/916	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22cf6adf310b993728441b1b7520e51a0f%22	https://rememberwhatitisthatyoulove.com/feed/	C:/Users/danno/Documents/github/george/memories/rememberwhatitisthatyoulove.com/feed/index.html	(from https://rememberwhatitisthatyoulove.com/)
